grid,lat,lon
AA00,-90.0,-180.0
AA01,-89.0,-180.0
AA02,-88.0,-180.0
AA03,-87.0,-180.0
AA04,-86.0,-180.0
AA05,-85.0,-180.0
AA06,-84.0,-180.0
AA07,-83.0,-180.0
AA08,-82.0,-180.0
AA09,-81.0,-180.0
AA10,-90.0,-178.0
AA11,-89.0,-178.0
AA12,-88.0,-178.0
AA13,-87.0,-178.0
AA14,-86.0,-178.0
AA15,-85.0,-178.0
AA16,-84.0,-178.0
AA17,-83.0,-178.0
AA18,-82.0,-178.0
AA19,-81.0,-178.0
AA20,-90.0,-176.0
AA21,-89.0,-176.0
AA22,-88.0,-176.0
AA23,-87.0,-176.0
AA24,-86.0,-176.0
AA25,-85.0,-176.0
AA26,-84.0,-176.0
AA27,-83.0,-176.0
AA28,-82.0,-176.0
AA29,-81.0,-176.0
AA30,-90.0,-174.0
AA31,-89.0,-174.0
AA32,-88.0,-174.0
AA33,-87.0,-174.0
AA34,-86.0,-174.0
AA35,-85.0,-174.0
AA36,-84.0,-174.0
AA37,-83.0,-174.0
AA38,-82.0,-174.0
AA39,-81.0,-174.0
AA40,-90.0,-172.0
AA41,-89.0,-172.0
AA42,-88.0,-172.0
AA43,-87.0,-172.0
AA44,-86.0,-172.0
AA45,-85.0,-172.0
AA46,-84.0,-172.0
AA47,-83.0,-172.0
AA48,-82.0,-172.0
AA49,-81.0,-172.0
AA50,-90.0,-170.0
AA51,-89.0,-170.0
AA52,-88.0,-170.0
AA53,-87.0,-170.0
AA54,-86.0,-170.0
AA55,-85.0,-170.0
AA56,-84.0,-170.0
AA57,-83.0,-170.0
AA58,-82.0,-170.0
AA59,-81.0,-170.0
AA60,-90.0,-168.0
AA61,-89.0,-168.0
AA62,-88.0,-168.0
AA63,-87.0,-168.0
AA64,-86.0,-168.0
AA65,-85.0,-168.0
AA66,-84.0,-168.0
AA67,-83.0,-168.0
AA68,-82.0,-168.0
AA69,-81.0,-168.0
AA70,-90.0,-166.0
AA71,-89.0,-166.0
AA72,-88.0,-166.0
AA73,-87.0,-166.0
