grid,lon_lat
AA00,"(-180.0, -90.0)"
AA01,"(-180.0, -89.0)"
AA02,"(-180.0, -88.0)"
AA03,"(-180.0, -87.0)"
AA04,"(-180.0, -86.0)"
AA05,"(-180.0, -85.0)"
AA06,"(-180.0, -84.0)"
AA07,"(-180.0, -83.0)"
AA08,"(-180.0, -82.0)"
AA09,"(-180.0, -81.0)"
AA10,"(-178.0, -90.0)"
AA11,"(-178.0, -89.0)"
AA12,"(-178.0, -88.0)"
AA13,"(-178.0, -87.0)"
AA14,"(-178.0, -86.0)"
AA15,"(-178.0, -85.0)"
AA16,"(-178.0, -84.0)"
AA17,"(-178.0, -83.0)"
AA18,"(-178.0, -82.0)"
AA19,"(-178.0, -81.0)"
AA20,"(-176.0, -90.0)"
AA21,"(-176.0, -89.0)"
AA22,"(-176.0, -88.0)"
AA23,"(-176.0, -87.0)"
AA24,"(-176.0, -86.0)"
AA25,"(-176.0, -85.0)"
AA26,"(-176.0, -84.0)"
AA27,"(-176.0, -83.0)"
AA28,"(-176.0, -82.0)"
AA29,"(-176.0, -81.0)"
AA30,"(-174.0, -90.0)"
AA31,"(-174.0, -89.0)"
AA32,"(-174.0, -88.0)"
AA33,"(-174.0, -87.0)"
AA34,"(-174.0, -86.0)"
AA35,"(-174.0, -85.0)"
AA36,"(-174.0, -84.0)"
AA37,"(-174.0, -83.0)"
AA38,"(-174.0, -82.0)"
AA39,"(-174.0, -81.0)"
AA40,"(-172.0, -90.0)"
AA41,"(-172.0, -89.0)"
AA42,"(-172.0, -88.0)"
AA43,"(-172.0, -87.0)"
AA44,"(-172.0, -86.0)"
AA45,"(-172.0, -85.0)"
AA46,"(-172.0, -84.0)"
AA47,"(-172.0, -83.0)"
AA48,"(-172.0, -82.0)"
AA49,"(-172.0, -81.0)"
AA50,"(-170.0, -90.0)"
AA51,"(-170.0, -89.0)"
AA52,"(-170.0, -88.0)"
AA53,"(-170.0, -87.0)"
AA54,"(-170.0, -86.0)"
AA55,"(-170.0, -85.0)"
AA56,"(-170.0, -84.0)"
AA57,"(-170.0, -83.0)"
AA58,"(-170.0, -82.0)"
AA59,"(-170.0, -81.0)"
AA60,"(-168.0, -90.0)"
AA61,"(-168.0, -89.0)"
AA62,"(-168.0, -88.0)"
AA63,"(-168.0, -87.0)"
AA64,"(-168.0, -86.0)"
AA65,"(-168.0, -85.0)"
AA66,"(-168.0, -84.0)"
AA67,"(-168.0, -83.0)"
AA68,"(-168.0, -82.0)"
AA69,"(-168.0, -81.0)"
AA70,"(-166.0, -90.0)"
AA71,"(-166.0, -89.0)"
AA72,"(-166.0, -88.0)"
AA73,"(-166.0, -87.0)"
AA74,"(-166.0, -86.0)"
AA75,"(-166.0, -85.0)"
AA76,"(-166.0, -84.0)"
AA77,"(-166.0, -83.0)"
AA78,"(-166.0, -82.0)"
AA79,"(-166.0, -81.0)"
AA80,"(-164.0, -90.0)"
AA81,"(-164.0, -89.0)"
AA82,"(-164.0, -88.0)"
AA83,"(-164.0, -87.0)"
AA84,"(-164.0, -86.0)"
AA85,"(-164.0, -85.0)"
AA86,"(-164.0, -84.0)"
AA87,"(-164.0, -83.0)"
AA88,"(-164.0, -82.0)"
AA89,"(-164.0, -81.0)"
AA90,"(-162.0, -90.0)"
AA91,"(-162.0, -89.0)"
AA92,"(-162.0, -88.0)"
AA93,"(-162.0, -87.0)"
AA94,"(-162.0, -86.0)"
AA95,"(-162.0, -85.0)"
AA96,"(-162.0, -84.0)"
AA97,"(-162.0, -83.0)"
AA98,"(-162.0, -82.0)"
AA99,"(-162.0, -81.0)"
AB00,"(-180.0, -80.0)"
AB01,"(-180.0, -79.0)"
AB02,"(-180.0, -78.0)"
AB03,"(-180.0, -77.0)"
AB04,"(-180.0, -76.0)"
AB05,"(-180.0, -75.0)"
AB06,"(-180.0, -74.0)"
AB07,"(-180.0, -73.0)"
AB08,"(-180.0, -72.0)"
AB09,"(-180.0, -71.0)"
AB10,"(-178.0, -80.0)"
AB11,"(-178.0, -79.0)"
AB12,"(-178.0, -78.0)"
AB13,"(-178.0, -77.0)"
AB14,"(-178.0, -76.0)"
AB15,"(-178.0, -75.0)"
AB16,"(-178.0, -74.0)"
AB17,"(-178.0, -73.0)"
AB18,"(-178.0, -72.0)"
AB19,"(-178.0, -71.0)"
AB20,"(-176.0, -80.0)"
AB21,"(-176.0, -79.0)"
AB22,"(-176.0, -78.0)"
AB23,"(-176.0, -77.0)"
AB24,"(-176.0, -76.0)"
AB25,"(-176.0, -75.0)"
AB26,"(-176.0, -74.0)"
AB27,"(-176.0, -73.0)"
AB28,"(-176.0, -72.0)"
AB29,"(-176.0, -71.0)"
AB30,"(-174.0, -80.0)"
AB31,"(-174.0, -79.0)"
AB32,"(-174.0, -78.0)"
AB33,"(-174.0, -77.0)"
AB34,"(-174.0, -76.0)"
AB35,"(-174.0, -75.0)"
AB36,"(-174.0, -74.0)"
AB37,"(-174.0, -73.0)"
AB38,"(-174.0, -72.0)"
AB39,"(-174.0, -71.0)"
AB40,"(-172.0, -80.0)"
AB41,"(-172.0, -79.0)"
AB42,"(-172.0, -78.0)"
AB43,"(-172.0, -77.0)"
AB44,"(-172.0, -76.0)"
AB45,"(-172.0, -75.0)"
AB46,"(-172.0, -74.0)"
AB47,"(-172.0, -73.0)"
AB48,"(-172.0, -72.0)"
AB49,"(-172.0, -71.0)"
AB50,"(-170.0, -80.0)"
AB51,"(-170.0, -79.0)"
AB52,"(-170.0, -78.0)"
AB53,"(-170.0, -77.0)"
AB54,"(-170.0, -76.0)"
AB55,"(-170.0, -75.0)"
AB56,"(-170.0, -74.0)"
AB57,"(-170.0, -73.0)"
AB58,"(-170.0, -72.0)"
AB59,"(-170.0, -71.0)"
AB60,"(-168.0, -80.0)"
AB61,"(-168.0, -79.0)"
AB62,"(-168.0, -78.0)"
AB63,"(-168.0, -77.0)"
AB64,"(-168.0, -76.0)"
AB65,"(-168.0, -75.0)"
AB66,"(-168.0, -74.0)"
AB67,"(-168.0, -73.0)"
AB68,"(-168.0, -72.0)"
AB69,"(-168.0, -71.0)"
AB70,"(-166.0, -80.0)"
AB71,"(-166.0, -79.0)"
AB72,"(-166.0, -78.0)"
AB73,"(-166.0, -77.0)"
AB74,"(-166.0, -76.0)"
AB75,"(-166.0, -75.0)"
AB76,"(-166.0, -74.0)"
AB77,"(-166.0, -73.0)"
AB78,"(-166.0, -72.0)"
AB79,"(-166.0, -71.0)"
AB80,"(-164.0, -80.0)"
AB81,"(-164.0, -79.0)"
AB82,"(-164.0, -78.0)"
AB83,"(-164.0, -77.0)"
AB84,"(-164.0, -76.0)"
AB85,"(-164.0, -75.0)"
AB86,"(-164.0, -74.0)"
AB87,"(-164.0, -73.0)"
AB88,"(-164.0, -72.0)"
AB89,"(-164.0, -71.0)"
AB90,"(-162.0, -80.0)"
AB91,"(-162.0, -79.0)"
AB92,"(-162.0, -78.0)"
AB93,"(-162.0, -77.0)"
AB94,"(-162.0, -76.0)"
AB95,"(-162.0, -75.0)"
AB96,"(-162.0, -74.0)"
AB97,"(-162.0, -73.0)"
AB98,"(-162.0, -72.0)"
AB99,"(-162.0, -71.0)"
AC00,"(-180.0, -70.0)"
AC01,"(-180.0, -69.0)"
AC02,"(-180.0, -68.0)"
AC03,"(-180.0, -67.0)"
AC04,"(-180.0, -66.0)"
AC05,"(-180.0, -65.0)"
AC06,"(-180.0, -64.0)"
AC07,"(-180.0, -63.0)"
AC08,"(-180.0, -62.0)"
AC09,"(-180.0, -61.0)"
AC10,"(-178.0, -70.0)"
AC11,"(-178.0, -69.0)"
AC12,"(-178.0, -68.0)"
AC13,"(-178.0, -67.0)"
AC14,"(-178.0, -66.0)"
AC15,"(-178.0, -65.0)"
AC16,"(-178.0, -64.0)"
AC17,"(-178.0, -63.0)"
AC18,"(-178.0, -62.0)"
AC19,"(-178.0, -61.0)"
AC20,"(-176.0, -70.0)"
AC21,"(-176.0, -69.0)"
AC22,"(-176.0, -68.0)"
AC23,"(-176.0, -67.0)"
AC24,"(-176.0, -66.0)"
AC25,"(-176.0, -65.0)"
AC26,"(-176.0, -64.0)"
AC27,"(-176.0, -63.0)"
AC28,"(-176.0, -62.0)"
AC29,"(-176.0, -61.0)"
AC30,"(-174.0, -70.0)"
AC31,"(-174.0, -69.0)"
AC32,"(-174.0, -68.0)"
AC33,"(-174.0, -67.0)"
AC34,"(-174.0, -66.0)"
AC35,"(-174.0, -65.0)"
AC36,"(-174.0, -64.0)"
AC37,"(-174.0, -63.0)"
AC38,"(-174.0, -62.0)"
AC39,"(-174.0, -61.0)"
AC40,"(-172.0, -70.0)"
AC41,"(-172.0, -69.0)"
AC42,"(-172.0, -68.0)"
AC43,"(-172.0, -67.0)"
AC44,"(-172.0, -66.0)"
AC45,"(-172.0, -65.0)"
AC46,"(-172.0, -64.0)"
AC47,"(-172.0, -63.0)"
AC48,"(-172.0, -62.0)"
