"sNR","mode","MHz","rxTime","senderDXCC","flowStartSeconds","senderCallsign","senderLocator","receiverCallsign","receiverLocator","receiverAntennaInformation","senderDXCCADIF","submode"
-14,"FT8","14.075118","2022-10-15 18:29:26","United States",1665858566,"KA9WAR","EN65CB","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-7,"FT8","14.074795","2022-10-15 18:29:26","United States",1665858566,"KN4BZT","EM88HM","KC1QBY","FN44RG","QRP X5105 EFHW",291,
10,"FT8","14.074887","2022-10-15 18:29:26","United States",1665858566,"N4IRK","FM16vt72","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-3,"FT8","14.075057","2022-10-15 18:29:26","United States",1665858566,"N0BBD","EM48MM","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-7,"FT8","14.075932","2022-10-15 18:29:27","United States",1665858567,"KB0XY","EN41RN","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-16,"FT8","14.075679","2022-10-15 18:29:29","United States",1665858569,"KJ5ET","EM42XH","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-11,"FT8","14.076391","2022-10-15 18:29:29","United States",1665858569,"KA1BUC","FN10LM","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-12,"FT8","14.075549","2022-10-15 18:29:41","United States",1665858581,"KD9SZQ","EN54JT","KC1QBY","FN44RG","QRP X5105 EFHW",291,
4,"FT8","14.075788","2022-10-15 18:29:41","United States",1665858581,"AA4SS","FM07ab","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-7,"FT8","14.075847","2022-10-15 18:29:41","United States",1665858581,"K0PT","EM94jd","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-8,"FT8","14.076452","2022-10-15 18:29:41","United States",1665858581,"KM4WPR","FM03MO","KC1QBY","FN44RG","QRP X5105 EFHW",291,
2,"FT8","14.076327","2022-10-15 18:29:41","United States",1665858581,"K8BL","EN91LM","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-3,"FT8","14.074493","2022-10-15 18:29:41","United States",1665858581,"NE0NS","EN62FB","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-19,"FT8","14.075159","2022-10-15 18:29:42","United States",1665858582,"KO4OPE","EM90EG","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-16,"FT8","14.075831","2022-10-15 18:29:42","United States",1665858582,"KY4LY","EM84BQ","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-5,"FT8","14.075741","2022-10-15 18:29:42","United States",1665858582,"W3MTN","EM94LM","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-12,"FT8","14.076232","2022-10-15 18:29:44","United States",1665858584,"W4AFY","EM32LM","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-11,"FT8","14.076491","2022-10-15 18:29:44","Netherlands",1665858584,"PD1RVD","JO20XW","KC1QBY","FN44RG","QRP X5105 EFHW",263,
-11,"FT8","14.076503","2022-10-15 18:29:44","Spain",1665858584,"EA3L","JN01wo25","KC1QBY","FN44RG","QRP X5105 EFHW",281,
-8,"FT8","14.076640","2022-10-15 18:29:56","United States",1665858596,"W5HVS","FM17LM","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-17,"FT8","14.075325","2022-10-15 18:29:56","United States",1665858596,"KR0P","EN10RM","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-7,"FT8","14.074666","2022-10-15 18:29:56","United States",1665858596,"W8RJC","EN72dx45","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-15,"FT8","14.075667","2022-10-15 18:29:56","United States",1665858596,"WI0R","DM79nx52","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-6,"FT8","14.074600","2022-10-15 18:29:56","United States",1665858596,"N4OPI","EM65nw90","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-15,"FT8","14.074218","2022-10-15 18:29:57","Spain",1665858597,"EA1FK","IN52PK","KC1QBY","FN44RG","QRP X5105 EFHW",281,
-9,"FT8","14.074802","2022-10-15 18:29:57","United States",1665858597,"KO4HJO","EM84NR","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-18,"FT8","14.075130","2022-10-15 18:29:57","United States",1665858597,"W5R","EM13RO","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-23,"FT8","14.075359","2022-10-15 18:29:59","United States",1665858599,"KJ7NUV","CN87up11","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-11,"FT8","14.074500","2022-10-15 18:29:59","United States",1665858599,"N1PRR","DM33SM","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-13,"FT8","14.075501","2022-10-15 18:30:11","Spain",1665858611,"EA7KMT","IM77bj","KC1QBY","FN44RG","QRP X5105 EFHW",281,
-15,"FT8","14.074982","2022-10-15 18:30:11","United States",1665858611,"K4PAA","EM75OV","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-3,"FT8","14.075760","2022-10-15 18:30:12","United States",1665858612,"K3AV","FM19NC","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-16,"FT8","14.075727","2022-10-15 18:30:14","United States",1665858614,"WC3A","EL98dt22","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-11,"FT8","14.075214","2022-10-15 18:30:26","France",1665858626,"F5RRS","JN36eb44","KC1QBY","FN44RG","QRP X5105 EFHW",227,
14,"FT8","14.075995","2022-10-15 18:30:26","United States",1665858626,"NG8Y","EM79wi51","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-10,"FT8","14.074665","2022-10-15 18:30:26","United States",1665858626,"WE4DX","CN77VE","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-14,"FT8","14.076003","2022-10-15 18:30:29","United States",1665858629,"N7NS","DN64ms69","KC1QBY","FN44RG","QRP X5105 EFHW",291,
6,"FT8","14.074728","2022-10-15 18:30:41","United States",1665858641,"K8DCS","EN82LM","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-4,"FT8","14.075609","2022-10-15 18:30:41","United States",1665858641,"K8WTF","EN91ci","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-9,"FT8","14.075053","2022-10-15 18:30:41","United States",1665858641,"KC3SJ","EM77TR","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-15,"FT8","14.075401","2022-10-15 18:30:41","United States",1665858641,"KK4OHF","EM73NT","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-14,"FT8","14.075050","2022-10-15 18:30:42","United States",1665858642,"K5QPO","EM75TS","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-16,"FT8","14.074762","2022-10-15 18:30:44","Italy",1665858644,"IU6JKI","JN72ch","KC1QBY","FN44RG","QRP X5105 EFHW",248,
-21,"FT8","14.075159","2022-10-15 18:30:44","Fed. Rep. of Germany",1665858644,"DB2WF","JO30MP","KC1QBY","FN44RG","QRP X5105 EFHW",230,
-5,"FT8","14.076155","2022-10-15 18:30:56","United States",1665858656,"NU0C","EN10ps69","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-10,"FT8","14.075051","2022-10-15 18:30:56","United States",1665858656,"KB4CNQ","FM05PV","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-19,"FT8","14.075208","2022-10-15 18:30:59","United States",1665858659,"KB0RXC","EN10PS","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-13,"FT8","14.076308","2022-10-15 18:31:12","United States",1665858672,"W9AV","EN43TE","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-15,"FT8","14.075060","2022-10-15 18:31:12","United States",1665858672,"KA3PMW","EM99xw05","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-6,"FT8","14.076066","2022-10-15 18:31:26","United States",1665858686,"W8JRH","EN72GQ","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-15,"FT8","14.076087","2022-10-15 18:31:41","Slovenia",1665858701,"S58WW","JN76hd56","KC1QBY","FN44RG","QRP X5105 EFHW",499,
-12,"FT8","14.074802","2022-10-15 18:31:41","United States",1665858701,"KE0OIR","DM79LM","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-9,"FT8","14.074587","2022-10-15 18:31:41","United States",1665858701,"KC9WIB","EN61DW","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-20,"FT8","14.075496","2022-10-15 18:31:59","France",1665858719,"F4ARU","JN03MM","KC1QBY","FN44RG","QRP X5105 EFHW",227,
-16,"FT8","14.075106","2022-10-15 18:31:59","United States",1665858719,"KF0AIT","EN14oh62","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-13,"FT8","14.074883","2022-10-15 18:32:14","United States",1665858734,"KC9MEG","EN52TI","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-13,"FT8","14.074935","2022-10-15 18:32:26","United States",1665858746,"W3AND","FN10mf97","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-22,"FT8","14.075565","2022-10-15 18:32:29","United States",1665858749,"KI4EGT","EM74PA","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-14,"FT8","14.075241","2022-10-15 18:32:41","United States",1665858761,"N3LJS","FM09op28sa","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-17,"FT8","14.075375","2022-10-15 18:32:56","United States",1665858776,"KK4EB","EM85","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-9,"FT8","14.075502","2022-10-15 18:32:56","United States",1665858776,"N4JOM","EM93vn39","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-8,"FT8","14.076100","2022-10-15 18:33:41","United States",1665858821,"KK4TA","FM18HQ","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-14,"FT8","14.075273","2022-10-15 18:33:42","France",1665858822,"F4GTB","JN18NT","KC1QBY","FN44RG","QRP X5105 EFHW",227,
-16,"FT8","14.075349","2022-10-15 18:33:45","United States",1665858825,"KC1QBY","FN44RG","DL0PF","JN68rn16","FD4",291,
