app_qrzlog_logid,call,country,freq,gridsquare,mode,my_country,my_gridsquare,qrzcom_qso_upload_date,qso_date,rst_rcvd,rst_sent,station_callsign,time_off,tx_pwr
701330952,K1VI,United States,14.074,FN41hv,FT8,United States,FN41iw,20211204,20211203,569,539,KC1QBY,1331,5
701391852,KA0BOJ,United States,14.0759,EN10,FT8,United States,FN41IW,20211204,20211204,-02,+00,KC1QBY,2111,5
701391853,W0DHZ,United States,14.0754,EN34,FT8,United States,FN41IW,20211204,20211204,-11,-06,KC1QBY,2120,5
701793490,W5ORC,United States,14.0757,EM53,FT8,United States,FN41IW,20211205,20211205,-07,-01,KC1QBY,1407,5
701793491,K0LWC,United States,14.0756,EN35,FT8,United States,FN41IW,20211205,20211205,-11,+03,KC1QBY,1658,5
701793492,K0MU,United States,14.0756,EN34,FT8,United States,FN41IW,20211205,20211205,-06,-04,KC1QBY,1718,5
701793493,AA9JS,United States,14.0762,EN51,FT8,United States,FN41IW,20211205,20211205,-10,-05,KC1QBY,1725,5
701793495,KN1B,United States,14.0762,EM40,FT8,United States,FN41IW,20211205,20211205,-16,+00,KC1QBY,1743,5
701793497,KB3FW,United States,14.0762,EM92,FT8,United States,FN41IW,20211205,20211205,-03,-03,KC1QBY,1749,5
701793498,N7LD,United States,14.076,DM26if,FT8,United States,FN41IW,20211205,20211205,-01,-15,KC1QBY,1756,5
701793499,WY0V,United States,14.0761,EN12,FT8,United States,FN41IW,20211205,20211205,-07,-08,KC1QBY,1820,5
701793500,K9IHM,United States,14.0761,EM86,FT8,United States,FN41IW,20211205,20211205,+12,-02,KC1QBY,1822,5
703356850,W9AV,United States,14.076,EN53,FT8,United States,FN42KB,20211210,20211210,-17,-03,KC1QBY,1557,5
703356851,KE4IP,United States,14.0759,EM73,FT8,United States,FN42KB,20211210,20211210,-04,+00,KC1QBY,1608,5
703356852,W8JES,United States,14.0759,EN81,FT8,United States,FN42KB,20211210,20211210,-03,-14,KC1QBY,1612,5
703356853,N4DWD,United States,14.0753,EM86,FT8,United States,FN42KB,20211210,20211210,+02,+01,KC1QBY,1622,5
703356854,AK4OC,United States,14.0753,EM75,FT8,United States,FN42KB,20211210,20211210,+12,-11,KC1QBY,1625,5
703356855,KG5JJ,United States,14.0759,EM26,FT8,United States,FN42KB,20211210,20211210,-06,-09,KC1QBY,1638,5
703356856,N4RWV,United States,14.0759,EM79rb,FT8,United States,FN42KB,20211210,20211210,+01,-19,KC1QBY,1640,5
703356857,W6CZ,United States,14.0757,DM07,FT8,United States,FN42KB,20211210,20211210,-09,-10,KC1QBY,1652,5
703356858,KB2ELA,United States,14.076,EL96,FT8,United States,FN42KB,20211210,20211210,-11,-05,KC1QBY,1701,5
703667453,NZ2X,United States,14.0751,EM83,FT8,United States,FN41IW,20211211,20211211,-03,+03,KC1QBY,1658,5
703667454,KI6WDY,United States,14.0752,EM86,FT8,United States,FN41IW,20211211,20211211,-09,-08,KC1QBY,1732,5
703667455,W0IEA,United States,14.0753,DN70,FT8,United States,FN41IW,20211211,20211211,-13,-02,KC1QBY,1737,5
